fieldName,description,type,rule,category
id,모든 데이터의 고유 키,문자열,중복 금지,CODE
assetPath,Unity Assets 기준 상대 경로,문자열,실제 파일이 없으면 빈 값,ASSET
rarity,캐릭터 희귀도,문자열,R / SR / SSR,CHARACTER
role,캐릭터 전투 역할,문자열,Striker / Defender / Ranger / Caster / Supporter / Assassin,CHARACTER
hp / attack / defense,기본 전투 능력치,정수,밸런스 조정 대상,BALANCE
cooldownSeconds,스킬 재사용 대기 시간,실수,초 단위,SKILL
effectType,스킬이 실행할 효과 종류,문자열,SingleDamage / AreaDamage / Heal,SKILL
effectMultiplier,스킬 효과량에 곱하는 계수,실수,밸런스 조정 대상,SKILL
formationSlot,전투 화면 배치 슬롯,정수,아군 4 / 적군 9,FORMATION
reward,스테이지 클리어 보상,정수,gold,REWARD
