formationId,stageId,formationSlot,enemyId,row,column,spawnDelaySeconds,status
FORMATION_001,STAGE_001,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_001,STAGE_001,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_001,STAGE_001,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_001,STAGE_001,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_001,STAGE_001,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_001,STAGE_001,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_002,STAGE_002,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_002,STAGE_002,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_002,STAGE_002,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_002,STAGE_002,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_002,STAGE_002,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_002,STAGE_002,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_003,STAGE_003,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_003,STAGE_003,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_003,STAGE_003,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_003,STAGE_003,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_003,STAGE_003,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_003,STAGE_003,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_004,STAGE_004,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_004,STAGE_004,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_004,STAGE_004,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_004,STAGE_004,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_004,STAGE_004,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_004,STAGE_004,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_005,STAGE_005,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_005,STAGE_005,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_005,STAGE_005,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_005,STAGE_005,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_005,STAGE_005,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_005,STAGE_005,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_006,STAGE_006,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_006,STAGE_006,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_006,STAGE_006,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_006,STAGE_006,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_006,STAGE_006,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_006,STAGE_006,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_007,STAGE_007,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_007,STAGE_007,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_007,STAGE_007,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_007,STAGE_007,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_007,STAGE_007,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_007,STAGE_007,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_008,STAGE_008,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_008,STAGE_008,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_008,STAGE_008,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_008,STAGE_008,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_008,STAGE_008,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_008,STAGE_008,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_009,STAGE_009,1,ENEMY_001,1,1,0,DRAFT_LAYOUT
FORMATION_009,STAGE_009,3,ENEMY_003,1,3,0,DRAFT_LAYOUT
FORMATION_009,STAGE_009,4,ENEMY_004,2,1,0,DRAFT_LAYOUT
FORMATION_009,STAGE_009,6,ENEMY_006,2,3,0,DRAFT_LAYOUT
FORMATION_009,STAGE_009,7,ENEMY_007,3,1,0,DRAFT_LAYOUT
FORMATION_009,STAGE_009,9,ENEMY_009,3,3,0,DRAFT_LAYOUT
FORMATION_010,STAGE_010,5,ENEMY_BOSS,2,2,0,ACTIVE_PROTOTYPE
